symbol,rank,score,weight
IRFC,1,933.99,7.000000000000001
RECLTD,2,694.18,11.0
GLAND,3,554.96,14.000000000000002
PFC,4,364.5,12.0
POLYCAB,5,320.11,21.0
JSWENERGY,6,294.55,10.0
BHEL,7,293.22,9.0
ESCORTS,8,272.6,16.0
ZEEL,9,269.02,15.0
INDIANB,10,256.54,13.0
ZOMATO,11,251.47,15.0
LUPIN,12,243.82,22.0
BHARATFORG,13,199.83,20.0
AUROPHARMA,14,194.56,21.0
SUNTV,15,192.57,19.0
TTML,16,191.79,10.0
HDFCAMC,17,188.51,16.0
PEL,18,187.35,14.000000000000002
TATACOMM,19,177.22,19.0
PNB,20,173.71,15.0
MFSL,21,163.53,18.0
NTPC,22,160.51,20.0
SHRIRAMFIN,23,158.31,21.0
IDFCFIRSTB,24,157.18,16.0
CIPLA,25,154.36,24.0
IDEA,26,153.29,7.000000000000001
UNIONBANK,27,151.56,14.000000000000002
ADANIPOWER,28,149.66,11.0
JINDALSTEL,29,146.97,18.0
IPCALAB,30,141.9,21.0
BANKINDIA,31,136.53,13.0
TRENT,32,135.53,21.0
MPHASIS,33,133.76,17.0
DIXON,34,123.56,14.000000000000002
LT,35,117.96,26.0
DRREDDY,36,111.17,28.000000000000004
COLPAL,37,105.38,26.0
NMDC,38,101.59,14.000000000000002
ZYDUSLIFE,39,94.48,20.0
PGHH,40,94.38,18.0
COFORGE,41,92.76,16.0
MCDOWELL-N,42,90.67,20.0
POLICYBZR,43,87.66,15.0
ASHOKLEY,44,87.13,26.0
MOTHERSON,45,86.5,21.0
OBEROIRLTY,46,85.11,19.0
NHPC,47,82.93,12.0
BEL,48,81.01,17.0
TATAPOWER,49,76.46,19.0
LICHSGFIN,50,72.73,21.0
SUNPHARMA,51,72.09,35.0
DELHIVERY,52,71.7,15.0
COROMANDEL,53,71.34,20.0
LTTS,54,70.19,23.0
M&M,55,67.57,21.0
TATASTEEL,56,66.02,19.0
CGPOWER,57,64.78,15.0
LAURUSLABS,58,61.38,17.0
HINDALCO,59,58.99,19.0
HAL,60,57.96,19.0
FEDERALBNK,61,55.0,22.0
GAIL,62,54.95,18.0
OFSS,63,54.04,17.0
WHIRLPOOL,64,53.31,20.0
POONAWALLA,65,53.21,14.000000000000002
ONGC,66,51.57,26.0
FORTIS,67,49.51,20.0
TECHM,68,49.27,26.0
TORNTPOWER,69,48.65,17.0
PRESTIGE,70,48.48,11.0
ADANIPORTS,71,48.12,17.0
INDUSTOWER,72,47.82,12.0
INFY,74,47.09,39.0
TATAMOTORS,75,46.3,27.0
BERGEPAINT,76,44.85,21.0
SYNGENE,77,42.53,16.0
CANBK,78,41.92,18.0
MUTHOOTFIN,79,41.75,23.0
L&TFH,80,41.31,19.0
LICI,81,39.36,26.0
ACC,82,38.88,20.0
ICICIGI,83,38.55,24.0
INDUSINDBK,84,38.18,23.0
GODREJPROP,85,37.93,18.0
MSUMI,86,36.46,15.0
ICICIPRULI,87,36.3,16.0
SAIL,88,36.23,14.000000000000002
